,Kingdom,Phylum,Class,Order,Family,Genus,Species
2cf9ba7b6551ebd3d32a1514ec13e935,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
2e3898b9719cebe3c88590b7df26f321,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
1552ec8731eca7b1e9c14c0a1111f410,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unassigned Variovorax
8c4cabe11dcdb4267580ca78c7e9cb1b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
a3e1c5ef29dd66ea1dd5735378a10de4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unassigned Variovorax
0307d969bd88d249990b08a196244860,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
90a9d4d5f86538db13546b1af5a3c12d,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
49bc4395980e4ae5228b71f31433b928,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
4216e1d49f88daffb11f1b7500eabf5e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
8cd7646d4eee2b702e680c9a36aa93ee,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
4ca76612b5cecf33d2c41ec0a47779ed,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
8bfb4cd55a9bc7b3bdcee3ed44111f51,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unassigned Rhodocyclaceae,Unassigned Rhodocyclaceae
d0b883a618489cd1fe899d23c48c1d5e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned Burkholderia
d5e72dec53034d931e0fe8b052da78e6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned Burkholderia
57450993437a06afb8b7fe45130863be,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_andropogonis
b57c6ab62e8b8121fa15639d61419ea2,Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria
516b569db86c158b52b990515e2421f3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Unassigned Alkanindiges
f8e023e914fb9e5e3950dadf8e7f177f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unassigned Moraxellaceae,Unassigned Moraxellaceae
50a3b56e0b7db75ee9daccf7a751ba41,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unassigned Acinetobacter
2f41b4b15416f046360ecaf1cfeb4b28,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_schindleri
262dc7bf78e937b0c7065aef82e18d08,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unassigned Acinetobacter
8198931a8517f8a3553c7e7493602200,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Unassigned Alkanindiges
69d3c9f06ff6580324ecf6e5593067fb,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Unassigned Halomonas
11a89b384a71d7dbce360213c8c4cd4e,Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria,Unassigned Bacteria
3c74c319642d9500441253f5bf3a7f5e,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Unassigned Pasteurellales,Unassigned Pasteurellales,Unassigned Pasteurellales
e1aa3497bde6ea9af5c1df7f51c950e7,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria
7175783c586229e7295116d38cd2d820,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria
143c3a2d7675b9e4e8a0deb65718a25c,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria,Unassigned Gammaproteobacteria
305be8d56c694423decdf0b3e50fc9f1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
6ba560a76661744bc65eed04953c1314,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Unassigned Aeromonadaceae,Unassigned Aeromonadaceae
659ddb6f18c5fa7e927afcbf8d490f68,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Unassigned Aeromonadaceae,Unassigned Aeromonadaceae
efb8602f3d0765aaf09b975799823da9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
e72e5193615884cf40437e3b8ec77a0a,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Brenneria,Brenneria_quercina
929d9a7f88bd83bc06d889c356d9a13e,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
33aa2cef478f45315c618dfca39a1870,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
